the 1595000
and 798000
to 731000
a 681000
of 500000
in 456000
is 435000
MICHAEL 365000
his 335000
I 324000
you 297000
he 254000
with 249000
He 248000
The 244000
on 203000
DON 195000
are 164000
at 154000
for 152000
HAGEN 151000
DAY: 150000
CORLEONE 143000
SONNY 141000
out 128000
my 124000
as 122000
that 122000
INT 116000
it 116000
have 110000
your 109000
EXT 107000
1945) 105000
from 104000
into 103000
KAY 102000
her 102000
be 100000
You 98000
all 97000
by 94000
they 94000
him 92000
up 89000
we 87000
me 86000
They 85000
CLEMENZA 82000
looks 82000
can 81000
an 75000
then 73000
A 71000
him. 71000
this 70000
We 69000
don't 69000
Then 68000
moves 67000
(WINTER 66000
do 66000
has 66000
will 64000
SOLLOZZO 63000
see 61000
want 61000
She 60000
get 59000
was 59000
NITE: 57000
about 57000
their 57000
not 56000
but 55000
car 55000
just 55000
them 55000
like 54000
one 54000
who 54000
I'll 52000
back 52000
no 51000
what 51000
around 49000
come 49000
I'm 48000
know 48000
down 47000
DON'S 46000
(O.S.) 45000
But 45000
been 45000
some 45000
going 43000
CARLO 42000
it. 42000
other 41000
she 41000
so 41000
(1955) 40000
MEN 40000
go 40000
if 40000
through 40000
(SUMMER 39000
little 39000
old 39000
And 37000
It 37000
face 37000
had 37000
out. 37000
over 37000
take 37000
very 37000
MAN 36000
or 36000
pulls 36000
turns 36000
never 35000
takes 35000
tell 35000
when 35000
What 34000
make 34000
there 34000
two 34000
CONNIE 33000
Don 33000
NERI 33000
(SPRING 32000
There 32000
think 32000
BONASERA 31000
men 31000
move 31000
walks 31000
MALL 30000
New 30000
TESSIO 30000
hands 30000
me. 30000
more 30000
our 30000
sits 30000
still 30000
1946) 29000
FABRIZZIO 29000
good 29000
man 29000
He's 28000
family 28000
you. 28000
VIEW 27000
he's 27000
hospital 27000
look 27000
opens 27000
people 27000
would 27000
Corleone 26000
PAULIE 26000
gets 26000
hand 26000
stands 26000
up. 26000
him, 25000
it's 25000
His 24000
LUCA 24000
THE 24000
car. 24000
could 24000
us 24000
LAMPONE 23000
MICHAEL, 23000
OFFICE 23000
ROOM 23000
before 23000
door 23000
door. 23000
let 23000
room. 23000
them. 23000
under 23000
FREDO 22000
MAMA 22000
another 22000
long 22000
steps 22000
too 22000
All 21000
I've 21000
Now 21000
TOM 21000
behind 21000
father 21000
got 21000
right 21000
sees 21000
talk 21000
where 21000
VITELLI 20000
black 20000
can't 20000
eyes 20000
front 20000
it, 20000
off. 20000
sitting 20000
way 20000
you're 20000
In 19000
It's 19000
MICHAEL's 19000
This 19000
against 19000
give 19000
goes 19000
hear 19000
off 19000
should 19000
which 19000
TWO 18000
That 18000
comes 18000
coming 18000
gun 18000
now 18000
side 18000
table 18000
things 18000
time 18000
toward 18000
were 18000
CALO 17000
If 17000
car, 17000
head 17000
house. 17000
makes 17000
out, 17000
say 17000
table. 17000
than 17000
until 17000
How 16000
Is 16000
Sollozzo 16000
TOMMASSINO 16000
WOLTZ 16000
after 16000
any 16000
call 16000
cannot 16000
carrying 16000
dressed 16000
each 16000
five 16000
only 16000
room 16000
something 16000
wait 16000
wants 16000
won't 16000
Mike, 15000
No. 15000
When 15000
Who 15000
You're 15000
big 15000
business. 15000
even 15000
eyes. 15000
here 15000
house 15000
how 15000
kill 15000
main 15000
me, 15000
need 15000
new 15000
puts 15000
small 15000
stand 15000
walk 15000
young 15000
(he 14000
BUTTON 14000
DRIVER 14000
Don't 14000
JOHNNY 14000
MICHAEL. 14000
MOE 14000
My 14000
No, 14000
ON 14000
Sonny, 14000
